Model,MSO3012
Firmware Version,2.40

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-9.320e-04,4.91875
-9.318e-04,4.90937
-9.316e-04,4.90937
-9.314e-04,4.91094
-9.312e-04,4.91281
-9.310e-04,4.90688
-9.308e-04,4.91844
-9.306e-04,4.91375
-9.304e-04,4.90156
-9.302e-04,4.91188
-9.300e-04,4.91
-9.298e-04,4.91312
-9.296e-04,4.90906
-9.294e-04,4.90844
-9.292e-04,4.90906
-9.290e-04,4.91
-9.288e-04,4.91563
-9.286e-04,4.905
-9.284e-04,4.91094
-9.282e-04,4.90969
-9.280e-04,4.90719
-9.278e-04,4.91031
-9.276e-04,4.91531
-9.274e-04,4.91688
-9.272e-04,4.91625
-9.270e-04,4.91344
-9.268e-04,4.91281
-9.266e-04,4.925
-9.264e-04,4.91188
-9.262e-04,4.91063
-9.260e-04,4.91656
-9.258e-04,4.91688
-9.256e-04,4.90906
-9.254e-04,4.90875
-9.252e-04,4.91312
-9.250e-04,4.91781
-9.248e-04,4.91625
-9.246e-04,4.915
-9.244e-04,4.91625
-9.242e-04,4.91688
-9.240e-04,4.91406
-9.238e-04,4.91063
-9.236e-04,4.91625
-9.234e-04,4.91719
-9.232e-04,4.91531
-9.230e-04,4.91188
-9.228e-04,4.90375
-9.226e-04,4.90469
-9.224e-04,4.90625
-9.222e-04,4.90625
-9.220e-04,4.9125
-9.218e-04,4.90719
-9.216e-04,4.90906
-9.214e-04,4.91375
-9.212e-04,4.91594
-9.210e-04,4.91531
-9.208e-04,4.91812
-9.206e-04,4.91812
-9.204e-04,4.92438
-9.202e-04,4.92219
-9.200e-04,4.91281
-9.198e-04,4.91812
-9.196e-04,4.91375
-9.194e-04,4.91406
-9.192e-04,4.91156
-9.190e-04,4.91437
-9.188e-04,4.905
-9.186e-04,4.92156
-9.184e-04,4.90875
-9.182e-04,4.91781
-9.180e-04,4.91312
-9.178e-04,4.90719
-9.176e-04,4.925
-9.174e-04,4.92375
-9.172e-04,4.92406
-9.170e-04,4.91688
-9.168e-04,4.91344
-9.166e-04,4.91781
-9.164e-04,4.92344
-9.162e-04,4.90906
-9.160e-04,4.91688
-9.158e-04,4.91031
-9.156e-04,4.91594
-9.154e-04,4.91063
-9.152e-04,4.91312
-9.150e-04,4.90937
-9.148e-04,4.91375
-9.146e-04,4.90469
-9.144e-04,4.91188
-9.142e-04,4.92063
-9.140e-04,4.9175
-9.138e-04,4.92031
-9.136e-04,4.91188
-9.134e-04,4.91563
-9.132e-04,4.91688
-9.130e-04,4.91625
-9.128e-04,4.91156
-9.126e-04,4.90969
-9.124e-04,4.90781
